"Status","Address","ML_Number","Address - City","Listing Date","DOM","Address - ZIP","Listing Price","Orig List Price","Bedrooms","Bathrooms","Square Footage","Year Built","Price_Per_Square_Foot","Lot Size - Sq Ft","Marketing Remarks","IDX","Publish to Internet","Listing Agent Name","Listing Agent Phone 1","Agent Email Address","Listing Office Name","Association","Street Full Address","Address - Street Number","Address - Street Name","Address - Street Suffix","Address - State","Area","District","Selling_Price_Per_Sqft","SP%LP","Status Date","Type","Construction","Zoning"
"A","1262 Vermont St, San Francisco, CA 94110","494071","San Francisco","01/23/20","272","94110","2000000.00","2850000.00","4","3","2445","1900","818.00","2495","This newly remodeled gated home is located in the heart of San Francisco. Within walking distance to restaurants, shops, amenities and public transportation. The open floor plan offers a spacious kitchen area with brand new Bluetooth enabled smart appliances, brand new windows throughout, laundry units both up and downstairs, and an upstairs wet bar area. The home is equipped with 2 heating units controlled by Nest thermostats, and a Ring security system. The spacious sunny backyard has brand new turf and the 4 car garage offers 2 level 2 EV charging stations. Room for in law unit in garage.","Y","1","Terry  A. Ford","650-438-2504","terryaford@aol.com","Coastside Associates Real Estate","MLSL","1262 Vermont St, San Francisco, CA 94110","1262","Vermont","St","CA","9020","9","","","01/23/20","DETC,2STR","","RH1"
"A","3012 Santa Clara, El Cerrito, CA 94530","494092","El Cerrito","01/23/20","272","94530","837000.00","837000.00","3","3","1347","","621.38","","","Y","0","Richard Lafferty","925-355-1305","blafferty@laffertycommunities.com","Lafferrty Communities","MLSL","3012 Santa Clara, El Cerrito, CA 94530","3012","Santa Clara","","CA","18060","18","","","01/23/20","","",""
"A","14 OAK KNOLL Ct, Petaluma, CA 94952","494295","Petaluma","01/29/20","266","94952","1799900.00","1817710.00","5","3.50","3449","","521.86","11865","","Y","0","Richard Lafferty","925-355-1305","blafferty@laffertycommunities.com","Lafferrty Communities","MLSL","14 OAK KNOLL Ct, Petaluma, CA 94952","14","OAK KNOLL","Ct","CA","15020","15","","","01/29/20","2STR","WDFR",""
"A","2691 Alemany Blvd, San Francisco, CA 94112","494792","San Francisco","01/17/20","250","94112","850000.00","850000.00","2","1","1238","1947","686.59","1825","Reasonably priced home in the Outer Mission District of SF. Centrally located with walking distance to BART, elementary school,  playgrounds, restaurants, and shopping. Easy access to 280 freeway. Main level: living room with feature fireplace; hardwood floor;  dining room next to a newer kitchen with quartz countertops and backsplash, under-mount double sink, dishwasher, and  refrigerator; spacious two bedrooms and one sizable full bath. Lower Level: Separate entrance with two large bonus bedrooms and  a full bath (unwarranted - buyer to investigate). 1 car garage. Dual pane window. The property is tenant occupied for both upstairs  and downstairs. Property to be sold at as-is condition. Perfect for 1st time buyers!","Y","1","David K Lee","650-246-8800","dklsf@yahoo.com","Coldwell Banker Infiniti Group","MLS","2691 Alemany Blvd, San Francisco, CA 94112","2691","Alemany","Blvd","CA","10040","10","","","02/10/20","FULL,ATAC,2STR","WDFR","RH1"
"A","6744 Garden Hwy, Yuba City, CA 95659","495037","Yuba City","02/05/20","249","95659","675000.00","675000.00","4","3","2984","2000","226.21","18295","== THIS IS IT! == Why suffer in a congested city or suburb when you can enjoy the peaceful serenity of life along the river? * Short commuter minutes from town, this well cared for custom home with its gorgeous sunsets and spacious entertainment friendly floor plan sits on nearly one half acre with ample space for RV and boat storage * The gourmet island kitchen is highlighted by gorgeous granite counters * The large master suite has a master bath with jetted Jacuzzi tub, AquaGlass shower, and his & her mirrored closets * The 2 bdrm downstairs with private entry has a cozy sitting room and kitchenette, and is perfect for a large or multi-gen family * There is ample room for your jet ski, kayak, or boat in the spacious 2-3 car garage * The handyperson around the house will love the extra large workshop/storage areas * Everyone will be delighted by the easy-care koi pond * All of this is just steps away from the Verona Marina with its boat launch and slips * Come see your new home today!","Y","1","Heidi Gross","916-224-5093","heidi.gross@comcast.net","Capital Realty","SACM","6744 Garden Hwy, Yuba City, CA 95659","6744","Garden","Hwy","CA","62010","62","","","02/15/20","DETC,2STR","WDFR",""
"A","1370-1370 Quesada Ave, San Francisco, CA 94124","494696","San Francisco","02/08/20","193","94124","825000.00","938269.00","4","2","1211","1955","681.26","2495","Smooth sleeping in the bay view with a water view...1st come 1st served to a goldmine location in..a mid century property that works as a big house or as two units. 1370 QUESADA AVENUE SF, CA 94124. The top floor is 1211 sq. ft. with 3 bed rooms and 1 full bath, with a formal dining & living room where you value the water and freeway views. Former neighbor to Candlestick Park (49er home) now Chase arena neighbor (Warriors Home) the Bay View is still valuable.  The 1st level (or 2nd unit) is the entire 2nd level including, a 1 car garage, washer/dryer area, half bath, 4th bedroom, with ample closet space and window backyard view. The backyard is large enough to develop another home or kick your feet up in the grass or wait for an avocado to drop from the tree.","N","1","LARRY LIONEL YOUNG JR. II","510-759-3800","LL@REALTOR.COM","REAL ESTATE EBROKER, INC.","EBRD","1370-1370 Quesada Ave, San Francisco, CA 94124","1370","Quesada","Ave","CA","10010","10","","","04/03/20","DETC,2STR","RNFC",""
"A","1164 Church St, San Francisco, CA 94114","495028","San Francisco","02/13/20","166","94114","3145500.00","3495000.00","5","4.50","2956","1900","1064.11","2996","We're back! Elegant and airy, open and welcoming SFH in the very heart of Noe Valley. Beautifully remodeled in 2013 this 5BD, 4.5BA home with SOARING ceilings cascading an abundance of natural light. Main level master bedroom w/ full bath + walk-in closet; 2nd bedroom with en suite bath and access to unfinished attic space (possibly developable); family room/TV area with gas fireplace; kitchen/dining/great room with gas fireplace, bar area with under cabinet wine fridge, spacious walk-in pantry/office space, direct access to garden. Lower level with 3 bedrooms + 2 full baths, great room, lots of closet space. Walk to restaurants, public transportation, tech buses and other services. With all of life's changes in the last 2 months, this home is the sanctuary needed to help ground and inspire health and well being in this new reality!","Y","1","Lisa J Thompson","415-756-5791","lisa@dwell-realestate.com","Dwell Real Estate San Francisco","MLS","1164 Church St, San Francisco, CA 94114","1164","Church","St","CA","5030","5","","","03/06/20","","","RM1"
"A","16470 Hillside Dr, Sonora, CA 95370","495128","Sonora","02/18/20","246","95370","449995.00","449995.00","3","2","1892","2020","237.84","0.6300","Brand New Custom Home on a Huge Lot with Views!  Still time to pick your own finishes & customize this 3 bedroom 2 bath home with 1,794 sq. ft., attached over sized 2 car garage & a .63 acre lot.  Many unique custom features including granite counter tops, stainless steel appliances, walk in closets in every bedroom & recessed LED lighting.  This home is also designed for low maintenance featuring stained fiber cement Hardie Plank siding & composite decking.  Open floor plan with cathedral ceilings, sleek & stylish gourmet kitchen, sumptuous master suite & bathed in natural light from the captivating windows that allow you to enjoy the views from several locations.  Utilities are underground & home is plumbed for gas fireplace & BBQ, Ac unit & electric car hookup in garage.  Covered porch & outside stairs with inside stairs from the garage as well.  Two driveways & plenty of room to park a RV on this mostly level lot.  Lake membership is available & walking distance from this home.","Y","1","Sarah D Pavlacky","209-769-6590","sarahpavlacky@suzannesimpson.com","Coldwell Banker Segerstrom","SACM","16470 Hillside Dr, Sonora, CA 95370","16470","Hillside","Dr","CA","66010","66","","","02/18/20","DETC,1STR","WDFR","RH1"
"A","2306 Geary Blvd, San Francisco, CA 94115","495586","San Francisco","02/28/20","236","94115","1699000.00","1890000.00","3","3","2050","1904","828.78","750","Single family home located in heart of San Francisco on vibrant  Geary Blvd .....    A block away from Divisadero Street, close to all shops, restaurants and medical buildings.    Upstairs 3 bedrooms 2 baths owner occupied, downstairs has 2 non- confirming units and one unit is vacant.  Good investment opportunities.","Y","1","Mandy Lam","415-297-3120","mandylamsf@gmail.com","Century 21 Realty Alliance Fine Homes and Estates","MLS","2306 Geary Blvd, San Francisco, CA 94115","2306","Geary","Blvd","CA","6030","6","","","02/28/20","3STR","","RH3"
"A","3045 Pacific Ave, San Francisco, CA 94115","493625","San Francisco","03/03/20","218","94115","6999000.00","7500000.00","6","4","4810","1924","1455.09","4974","Spanish Revival Home on 39' x 127' lot with a gracious floor plan & South City views. Beautiful street presence, mature trees, set back front yard & a private driveway. Brick stairs lead to the open front landing. Enter into central foyer w/ hardwood floors & staircase. The south facing living room features city views & french door that open onto a private deck overlooking the yard & mature avocado tree. Wide hall leads to the formal dining room at front. Kitchen connects back to the heart of the home. Master suite overlooks Pacific. 2 bedrooms share a bath & enjoy eastern light & city views. The 3rd floor has 2 bedrooms & family room with City views. The Lower level is full floor of rooms & garage w/ high ceilings enabled by the down-slope lot.","Y","1","Ted Bartlett","415-254-0711","Ted@BartlettRE.com","Compass","MLS","3045 Pacific Ave, San Francisco, CA 94115","3045","Pacific","Ave","CA","7020","7","","","03/03/20","","",""
"A","5251 Grove St, Sonoma, CA 95476","495777","Sonoma","03/03/20","232","95476","1195000.00","1250000.00","2","2","2100","","569.05","8.3300","Remodeled home with creekside bedroom and wrap around deck, 2+ Bedrooms, 2 Baths. Detached, huge 4 car garage with 3 creekside bonus rooms. Remodeled contemporary kitchen, add on: living room, bedroom, roof and mudroom extension with laundry facility. Extensive cabinets, floor to ceiling storage. On 8.33 acres (approx). 1 Hour to SF, 12 minutes to Sonoma Plaza.","Y","1","Maria Marchetti","415-699-8008","maria@mariamarchetti.com","Sotheby's International Realty","MLS","5251 Grove St, Sonoma, CA 95476","5251","Grove","St","CA","15050","15","","","03/03/20","DETC,1STR","WDFR",""
"A","3445 Washington St, San Francisco, CA 94118","494822","San Francisco","12/04/19","178","94118","8990000.00","10500000.00","5","5.50","5887","1908","1527.09","5108","This expansive Spanish-Revival residence, designed by Charles Whittlesey in 1908, has been substantially and thoughtfully renovated into a warm, light-filled home with beautiful scale. Spanning approximately 5,900 square feet, this 5 bedroom, 5.5 bath Presidio Heights home offers a sophisticated floor plan, indoor-outdoor living and Golden Gate Bridge views. Large living room with fireplace and custom shelving. Spacious formal dining room with adjacent sitting area.  Remodeled kitchen and casual dining space. Large slide-away doors to the outdoor terrace. Upstairs master has an expansive walk-in closet, spa like-bathroom, sitting/yoga room and secluded deck with hot tub. Additional rooms include a view playroom, bedroom with built in desk, walk-in closet and en-suite bath and laundry room. Top level has panoramic view office, 2 spacious bedrooms, 2 full baths and a large south-facing view deck. Elevator and 2 car garage. Resort-like outdoor space.","Y","1","Anne M Herrera","415-901-1795","anne.herrera@sothebyshomes.com","Sotheby's International Realty","MLS","3445 Washington St, San Francisco, CA 94118","3445","Washington","St","CA","7030","7","","","03/05/20","DETC","",""
"A","3540 Leafwood Cir, Antioch, CA 94531","495889","Antioch","03/05/20","230","94531","499999.00","499999.00","3","2","1487","1985","336.25","5684","Gorgeous move in ready corner lot,home tastefully top to bottom remodeled.Offers 3 bedrooms,2 and one half bath, living space 1487 square feet,5684 square feet lot, by public records.Two car garage attached, more parking on driveway and off-street parking.Possible RV parking or dog run as well. Great opportunity for first time home owner. Plenty full natural lights throughout the day.   Master bedroom with balcony, facing the backyard.Fireplace,Ceiling Fans,New Central heating and cooling.Wonderfully updated master suite,Newly painted  in and out,Newer appliance,new washer and dryer,New refrigerator, new air conditioner,Water softener,Solar owned.Conveniently located near by Bart,Freeways,Highways, Shopping, Restaurants,and much more.","N","0","Helen Davis","925-212-8983","hdavis@rockcliff.com","J. Rockcliff Realtors Inc.","CCRD","3540 Leafwood Cir, Antioch, CA 94531","3540","Leafwood","Cir","CA","18010","18","","","03/05/20","DETC,2STR","WDFR","OTHR"
"A","11226 Holiday Dr, Butte, CA 95930","495899","Butte","03/01/20","230","95930","274900.00","279900.00","4","2","2301","1981","119.47","0.3700","Mountain Living, yet with a little bit of pampering, Highly sought after Merry Mountain Village, Where else can you live and enjoy all nature has to offer, While relaxing in this lovely 2301 SF 4 bedroom 2 bathroom home, Downstairs features a gorgeous entry with Knotty pine lined walls and ceilings a Cozy Livingroom to Cuddle up in front of the wood burning stove, gather in your Large Kitchen with ample counter and cabinet space. Enjoy a peaceful nights sleep in any of the 4 bedrooms 2 downstairs 2 upstairs separated by a full bathroom on each floor, Share some family time playing games or reading books in your roomy loft area upstairs. BBQ on your large wrap around deck or kick back and gaze at the stars. All this while your streets are being cleared from snow in those beautiful winter months. You and your Family can relax and enjoy a cold drink by the maintained pool. Take nature walks on the trails, Join the snowmobile club, Hiking, fishing, Boating, hunting. Endless possibilties!","Y","1","Tammy M Anthony","916-206-8264","tammyanthony66@yahoo.com","Fathom Realty Group, Inc.","SACM","11226 Holiday Dr, Butte, CA 95930","11226","Holiday","Dr","CA","23010","23","","","03/05/20","DETC,2STR","WDFR",""
"A","815 Marina Blvd, San Francisco, CA 94123-1024","494270","San Francisco","03/01/20","161","94123","4850000.00","4998000.00","4","3.50","3230","1936","1501.55","1933","Classic details, one-of-a-kind location and iconic San Francisco bay front views await the new owner of this impeccably maintained, 3-story 4BR/3.5BA Marina residence. Sweeping views of the Bay, Alcatraz, the Marina Green and Crissy Field as well as San Francisco Yacht Club Marinas are accessible from all levels. The main floor features a spacious grand living room w/fireplace, fully equipped modern kitchen & breakfast room plus formal dining room. A master suite + 2 large bedrooms and full bath on the second level while the top floor boasts spectacular bay views from a large family room and adjacent enclosed solarium w/views of Pacific Heights and the Palace of Fine Arts as well. There is a lower level guest suite, laundry room, wine storage and access both to the garden and garage. Other amenities include steam heat, security system, service entrance. An elegant home on a fabulous street for Marina, Beach and Presidio activities, Chestnut Street shopping & restaurants.","Y","1","Dona Crowder","415-310-5933","dona.crowder@cbnorcal.com","Coldwell Banker Realty","MLS","815 Marina Blvd, San Francisco, CA 94123-1024","815","Marina","Blvd","CA","7010","7","","","04/30/20","3STR","WDFR",""
"A","916 Ponderosa St St, Jackson, CA 95642","496141","Jackson","03/07/20","224","95642","460000.00","499000.00","4","3","1960","2004","234.69","8712","**IT'S A MUST SEE** Looking for a home away from the city, in the beautiful mountains? This is it!! Amazing custom home located on a hilltop in a desirable newer neighborhood in the heart of Jackson. This home shows pride of ownership throughout. Walk into real hardwood floors and arch entry. Enjoy cooking in your newly remodeled gourmet kitchen with granite counter tops, custom cabinets, stainless steel appliances and gorgeous tile floors. Cuddle up in the warm and cozy great room while enjoying the breathtaking views of the sunrise over Jackson. Master bedroom is spacious and bright. Master bath has separate shower stall, a jetted tub, double sinks and walk-in closet. The back yard offers  great views of the night skies, days of the snow capped Sierra and Butte Mt. Don't miss this one!!","Y","0","Jamie L Pingree","916-260-1202","jamie@divine.properties","Divine Properties","SACM","916 Ponderosa St St, Jackson, CA 95642","916","Ponderosa St","St","CA","22010","22","","","03/11/20","2STR","WDFR",""
"A","473-475 Fair Oaks St, San Francisco, CA 94110","496381","San Francisco","03/16/20","169","94110","3200000.00","4000000.00","5","5","3400","1908","941.18","3125","At the foot of Liberty Hill, nestled between the popular 24th shops/cafes in Noe Valley & the attractions in the vibrant Mission district, this exceptional property is located on a prized block. This beautiful Edwardian has been sensitively renovated with timeless, modern finishes while preserving lovely, traditional architectural details throughout. Tremendous flexibility in the floor plan with up to 6BD/4.5BA, LR, FDR, & Media room that opens to the edible garden.  Enjoy outdoor living from every level including the pano view roof deck.  Zoned heat and air conditioning. Elevator services every level including the 2-car garage and the roof deck!  Note:  Empty rooms have been digitally emptied/edited and virtually painted.","Y","1","Janet F Schindler","415-296-2211","janetschindler@hotmail.com","Sotheby's International Realty","MLS","473-475 Fair Oaks St, San Francisco, CA 94110","473","Fair Oaks","St","CA","5030","5","","","05/05/20","","",""
"A","4203 State Hwy 113, Dixon, CA 95620","496521","Dixon","03/26/20","163","95620","1350000.00","1490000.00","3","2","1498","2006","901.20","1711036","Back on the market, no fault of seller! Attention = Equestrian, Vintners, Ranchers and nature lovers! This is a MUST SEE property. This 40-acre paradise is centrally located between San Francisco and Sacramento. The property has a custom home built by a master craftsman. Pride of ownership is evident throughout the entire property. There are (2) barns totaling (14) stalls with (2) tack rooms. Multiple pastures and paddocks... an (8) stall Mare motel, a gigantic 40x30x22 hay barn, a 150 by 110 arena. The Arena and round pen are all weather with sand footing. They require no maintenance and can withstand anything. A 26+ GPM well supplies water to all pastures, stalls and paddocks. Hot and cold wash racks. None of the panels are included in the sale however the shelters will be. The land is slightly sloped and has great drainage so the land could easily become a farm, vineyard or ranch, etc... bring your best offer to this motivated seller... let's make your dreams come true!","Y","0","Jeff L Neumann","916-835-5333","jnsellshomes@gmail.com","DaVal Real Estate Services","SACM","4203 State Hwy 113, Dixon, CA 95620","4203","State Hwy 113","","CA","17020","17","","","03/26/20","DETC,1STR","WDFR","OTHR"
"A","1182 Palou Ave, San Francisco, CA 94124","496536","San Francisco","03/27/20","208","94124","1039000.00","1049000.00","7","5","3236","1900","321.08","2500","Approved Project to Remodel and Expand to: 3236 Sqft, 7 Bedrooms, 5 Bathrooms in 3 Levels 1277 +1279 + 680 = 3236 Sqft. Property is in a Tax opportunity Zone. Complete the Project and get big Equity. Lower Level 1277 Sqft: 1 master Bedroom plus 2 Bedrooms plus 1 Bath (3 Bedrooms 2 Baths), Kitchen, Dining Area, Living Room, Laundry Second Level 1279 Sqft: 1 master Bedroom plus 2 Bedrooms plus 1 Bath (3 Bedrooms 2 Baths), Kitchen, Dining Area, Living Room, Laundry Third Level 680 Sqft: 1 Big Master (1 Bed 1 Bath). Property is Located in a Tax Opportunity Zone! Hunter's Point Future Park Site with 8.01 acres will be 200ft away. Now: Adam Rodgers Park with 2.74 acres is 300ft away and Hilltop Park with 3.46 acres is 900ft away.","N","1","David Hidalgo","415-940-4644","david@hidalgofoster.com","Century 21 MM","BERD","1182 Palou Ave, San Francisco, CA 94124","1182","Palou","Ave","CA","10010","10","","","03/27/20","3STR","WDFR",""
